price,date,hour,day,month,year
395.4,06-01-2016,19,06,01,2016
229.28,06-01-2016,20,06,01,2016
203.37,06-01-2016,21,06,01,2016
188.71,06-01-2016,22,06,01,2016
178.57,06-01-2016,23,06,01,2016
208.78,07-01-2016,00,07,01,2016
200.84,07-01-2016,01,07,01,2016
198.53,07-01-2016,02,07,01,2016
198.72,07-01-2016,03,07,01,2016
201.58,07-01-2016,04,07,01,2016
223.46,07-01-2016,05,07,01,2016
249.96,07-01-2016,06,07,01,2016
667.25,07-01-2016,07,07,01,2016
922.75,07-01-2016,08,07,01,2016
735.03,07-01-2016,09,07,01,2016
691.72,07-01-2016,10,07,01,2016
566.69,07-01-2016,11,07,01,2016
553.21,07-01-2016,12,07,01,2016
571.12,07-01-2016,13,07,01,2016
551.18,07-01-2016,14,07,01,2016
604.09,07-01-2016,15,07,01,2016
922.85,07-01-2016,16,07,01,2016
901.15,07-01-2016,17,07,01,2016
645.73,07-01-2016,18,07,01,2016
343.41,07-01-2016,19,07,01,2016
294.93,07-01-2016,20,07,01,2016
238.88,07-01-2016,21,07,01,2016
198.99,07-01-2016,22,07,01,2016
187.08,07-01-2016,23,07,01,2016
195.54,08-01-2016,00,08,01,2016
187.19,08-01-2016,01,08,01,2016
183.66,08-01-2016,02,08,01,2016
184.4,08-01-2016,03,08,01,2016
187.28,08-01-2016,04,08,01,2016
192.48,08-01-2016,05,08,01,2016
204.46,08-01-2016,06,08,01,2016
277.72,08-01-2016,07,08,01,2016
400.74,08-01-2016,08,08,01,2016
405.85,08-01-2016,09,08,01,2016
403.25,08-01-2016,10,08,01,2016
343.08,08-01-2016,11,08,01,2016
299.63,08-01-2016,12,08,01,2016
248.65,08-01-2016,13,08,01,2016
256.27,08-01-2016,14,08,01,2016
297.87,08-01-2016,15,08,01,2016
353.48,08-01-2016,16,08,01,2016
428.6,08-01-2016,17,08,01,2016
436.12,08-01-2016,18,08,01,2016
372.24,08-01-2016,19,08,01,2016
265.28,08-01-2016,20,08,01,2016
232.96,08-01-2016,21,08,01,2016
225.81,08-01-2016,22,08,01,2016
210.4,08-01-2016,23,08,01,2016
226.91,09-01-2016,00,09,01,2016
217.01,09-01-2016,01,09,01,2016
210.99,09-01-2016,02,09,01,2016
208.21,09-01-2016,03,09,01,2016
203.31,09-01-2016,04,09,01,2016
205.99,09-01-2016,05,09,01,2016
207.29,09-01-2016,06,09,01,2016
212.66,09-01-2016,07,09,01,2016
221.73,09-01-2016,08,09,01,2016
228.67,09-01-2016,09,09,01,2016
245.24,09-01-2016,10,09,01,2016
249.32,09-01-2016,11,09,01,2016
243.67,09-01-2016,12,09,01,2016
234.41,09-01-2016,13,09,01,2016
