price,date,hour
286.8,09-01-2018,22
280.23,09-01-2018,23
283.72,10-01-2018,00
278.12,10-01-2018,01
274.68,10-01-2018,02
270.94,10-01-2018,03
275.56,10-01-2018,04
296.5,10-01-2018,05
329.61,10-01-2018,06
432.51,10-01-2018,07
471.52,10-01-2018,08
471.52,10-01-2018,09
472.11,10-01-2018,10
469.56,10-01-2018,11
462.78,10-01-2018,12
433.88,10-01-2018,13
451.77,10-01-2018,14
460.22,10-01-2018,15
480.56,10-01-2018,16
510.05,10-01-2018,17
517.81,10-01-2018,18
441.65,10-01-2018,19
390.35,10-01-2018,20
351.92,10-01-2018,21
313.69,10-01-2018,22
298.17,10-01-2018,23
304.58,11-01-2018,00
294.95,11-01-2018,01
293.28,11-01-2018,02
294.36,11-01-2018,03
303.99,11-01-2018,04
326.48,11-01-2018,05
387.38,11-01-2018,06
504.55,11-01-2018,07
546.59,11-01-2018,08
541.28,11-01-2018,09
541.48,11-01-2018,10
535.98,11-01-2018,11
519.19,11-01-2018,12
460.35,11-01-2018,13
490.21,11-01-2018,14
513.49,11-01-2018,15
538.34,11-01-2018,16
553.76,11-01-2018,17
551.01,11-01-2018,18
393.47,11-01-2018,19
345.14,11-01-2018,20
325.5,11-01-2018,21
304.97,11-01-2018,22
295.25,11-01-2018,23
293.51,12-01-2018,00
287.83,12-01-2018,01
285.68,12-01-2018,02
285.48,12-01-2018,03
289.59,12-01-2018,04
305.44,12-01-2018,05
325.01,12-01-2018,06
432.33,12-01-2018,07
460.61,12-01-2018,08
433.9,12-01-2018,09
426.27,12-01-2018,10
425.0,12-01-2018,11
387.23,12-01-2018,12
368.15,12-01-2018,13
359.35,12-01-2018,14
344.38,12-01-2018,15
431.16,12-01-2018,16
448.96,12-01-2018,17
425.88,12-01-2018,18
323.93,12-01-2018,19
308.77,12-01-2018,20
307.69,12-01-2018,21
297.03,12-01-2018,22
289.0,12-01-2018,23
296.83,13-01-2018,00
291.71,13-01-2018,01
287.08,13-01-2018,02
284.82,13-01-2018,03
283.44,13-01-2018,04
285.31,13-01-2018,05
288.95,13-01-2018,06
298.11,13-01-2018,07
303.72,13-01-2018,08
310.22,13-01-2018,09
313.17,13-01-2018,10
313.96,13-01-2018,11
313.86,13-01-2018,12
313.56,13-01-2018,13
309.03,13-01-2018,14
308.44,13-01-2018,15
333.94,13-01-2018,16
373.72,13-01-2018,17
361.41,13-01-2018,18
315.73,13-01-2018,19
301.16,13-01-2018,20
293.38,13-01-2018,21
288.85,13-01-2018,22
283.54,13-01-2018,23
284.31,14-01-2018,00
279.79,14-01-2018,01
276.05,14-01-2018,02
275.16,14-01-2018,03
274.18,14-01-2018,04
275.56,14-01-2018,05
278.9,14-01-2018,06
280.87,14-01-2018,07
283.62,14-01-2018,08
289.33,14-01-2018,09
292.58,14-01-2018,10
296.41,14-01-2018,11
293.26,14-01-2018,12
289.62,14-01-2018,13
294.54,14-01-2018,14
308.12,14-01-2018,15
334.19,14-01-2018,16
364.79,14-01-2018,17
357.41,14-01-2018,18
328.39,14-01-2018,19
300.54,14-01-2018,20
292.08,14-01-2018,21
288.54,14-01-2018,22
283.53,14-01-2018,23
264.64,15-01-2018,00
242.11,15-01-2018,01
227.25,15-01-2018,02
205.51,15-01-2018,03
267.1,15-01-2018,04
282.74,15-01-2018,05
295.92,15-01-2018,06
318.25,15-01-2018,07
329.57,15-01-2018,08
320.42,15-01-2018,09
310.28,15-01-2018,10
298.09,15-01-2018,11
289.53,15-01-2018,12
288.15,15-01-2018,13
289.43,15-01-2018,14
287.66,15-01-2018,15
288.74,15-01-2018,16
295.23,15-01-2018,17
289.13,15-01-2018,18
286.87,15-01-2018,19
283.92,15-01-2018,20
275.75,15-01-2018,21
243.09,15-01-2018,22
162.62,15-01-2018,23
257.02,16-01-2018,00
233.82,16-01-2018,01
200.48,16-01-2018,02
211.5,16-01-2018,03
232.93,16-01-2018,04
274.43,16-01-2018,05
