price,date,hour,day,month,year
229.8,01-01-2017,00,01,01,2017
229.8,01-01-2017,01,01,01,2017
229.7,01-01-2017,02,01,01,2017
221.77,01-01-2017,03,01,01,2017
230.47,01-01-2017,04,01,01,2017
239.17,01-01-2017,05,01,01,2017
245.0,01-01-2017,06,01,01,2017
247.39,01-01-2017,07,01,01,2017
250.36,01-01-2017,08,01,01,2017
246.15,01-01-2017,09,01,01,2017
257.15,01-01-2017,10,01,01,2017
262.79,01-01-2017,11,01,01,2017
268.15,01-01-2017,12,01,01,2017
274.46,01-01-2017,13,01,01,2017
283.64,01-01-2017,14,01,01,2017
290.52,01-01-2017,15,01,01,2017
294.54,01-01-2017,16,01,01,2017
295.78,01-01-2017,17,01,01,2017
294.35,01-01-2017,18,01,01,2017
291.77,01-01-2017,19,01,01,2017
288.71,01-01-2017,20,01,01,2017
286.32,01-01-2017,21,01,01,2017
283.54,01-01-2017,22,01,01,2017
280.77,01-01-2017,23,01,01,2017
281.15,02-01-2017,00,02,01,2017
276.47,02-01-2017,01,02,01,2017
268.82,02-01-2017,02,02,01,2017
266.71,02-01-2017,03,02,01,2017
270.25,02-01-2017,04,02,01,2017
291.0,02-01-2017,05,02,01,2017
314.14,02-01-2017,06,02,01,2017
324.28,02-01-2017,07,02,01,2017
333.46,02-01-2017,08,02,01,2017
336.81,02-01-2017,09,02,01,2017
338.63,02-01-2017,10,02,01,2017
335.37,02-01-2017,11,02,01,2017
333.27,02-01-2017,12,02,01,2017
331.84,02-01-2017,13,02,01,2017
332.79,02-01-2017,14,02,01,2017
343.6,02-01-2017,15,02,01,2017
358.8,02-01-2017,16,02,01,2017
382.62,02-01-2017,17,02,01,2017
374.58,02-01-2017,18,02,01,2017
339.68,02-01-2017,19,02,01,2017
336.9,02-01-2017,20,02,01,2017
332.22,02-01-2017,21,02,01,2017
315.48,02-01-2017,22,02,01,2017
295.88,02-01-2017,23,02,01,2017
292.49,03-01-2017,00,03,01,2017
289.82,03-01-2017,01,03,01,2017
287.72,03-01-2017,02,03,01,2017
287.63,03-01-2017,03,03,01,2017
290.11,03-01-2017,04,03,01,2017
307.67,03-01-2017,05,03,01,2017
319.69,03-01-2017,06,03,01,2017
341.64,03-01-2017,07,03,01,2017
350.99,03-01-2017,08,03,01,2017
345.17,03-01-2017,09,03,01,2017
337.82,03-01-2017,10,03,01,2017
333.24,03-01-2017,11,03,01,2017
332.19,03-01-2017,12,03,01,2017
325.32,03-01-2017,13,03,01,2017
326.85,03-01-2017,14,03,01,2017
329.33,03-01-2017,15,03,01,2017
333.43,03-01-2017,16,03,01,2017
330.09,03-01-2017,17,03,01,2017
325.03,03-01-2017,18,03,01,2017
314.25,03-01-2017,19,03,01,2017
303.47,03-01-2017,20,03,01,2017
291.16,03-01-2017,21,03,01,2017
279.32,03-01-2017,22,03,01,2017
271.59,03-01-2017,23,03,01,2017
247.03,04-01-2017,00,04,01,2017
242.08,04-01-2017,01,04,01,2017
241.51,04-01-2017,02,04,01,2017
242.46,04-01-2017,03,04,01,2017
247.41,04-01-2017,04,04,01,2017
265.51,04-01-2017,05,04,01,2017
275.52,04-01-2017,06,04,01,2017
292.0,04-01-2017,07,04,01,2017
306.1,04-01-2017,08,04,01,2017
316.96,04-01-2017,09,04,01,2017
319.34,04-01-2017,10,04,01,2017
323.25,04-01-2017,11,04,01,2017
323.25,04-01-2017,12,04,01,2017
323.34,04-01-2017,13,04,01,2017
325.34,04-01-2017,14,04,01,2017
336.3,04-01-2017,15,04,01,2017
345.64,04-01-2017,16,04,01,2017
350.69,04-01-2017,17,04,01,2017
338.68,04-01-2017,18,04,01,2017
328.68,04-01-2017,19,04,01,2017
322.87,04-01-2017,20,04,01,2017
314.58,04-01-2017,21,04,01,2017
308.0,04-01-2017,22,04,01,2017
290.0,04-01-2017,23,04,01,2017
290.74,05-01-2017,00,05,01,2017
288.07,05-01-2017,01,05,01,2017
285.88,05-01-2017,02,05,01,2017
286.45,05-01-2017,03,05,01,2017
291.69,05-01-2017,04,05,01,2017
309.23,05-01-2017,05,05,01,2017
332.29,05-01-2017,06,05,01,2017
400.9,05-01-2017,07,05,01,2017
413.39,05-01-2017,08,05,01,2017
400.62,05-01-2017,09,05,01,2017
410.15,05-01-2017,10,05,01,2017
424.44,05-01-2017,11,05,01,2017
424.63,05-01-2017,12,05,01,2017
425.58,05-01-2017,13,05,01,2017
428.73,05-01-2017,14,05,01,2017
534.6,05-01-2017,15,05,01,2017
664.2,05-01-2017,16,05,01,2017
704.41,05-01-2017,17,05,01,2017
686.02,05-01-2017,18,05,01,2017
477.23,05-01-2017,19,05,01,2017
427.77,05-01-2017,20,05,01,2017
400.71,05-01-2017,21,05,01,2017
354.68,05-01-2017,22,05,01,2017
330.19,05-01-2017,23,05,01,2017
341.68,06-01-2017,00,06,01,2017
338.82,06-01-2017,01,06,01,2017
329.77,06-01-2017,02,06,01,2017
326.81,06-01-2017,03,06,01,2017
325.67,06-01-2017,04,06,01,2017
310.7,06-01-2017,05,06,01,2017
327.19,06-01-2017,06,06,01,2017
460.47,06-01-2017,07,06,01,2017
557.52,06-01-2017,08,06,01,2017
324.62,06-01-2017,09,06,01,2017
558.67,06-01-2017,10,06,01,2017
536.84,06-01-2017,11,06,01,2017
332.91,06-01-2017,12,06,01,2017
370.09,06-01-2017,13,06,01,2017
338.35,06-01-2017,14,06,01,2017
345.5,06-01-2017,15,06,01,2017
535.22,06-01-2017,16,06,01,2017
530.26,06-01-2017,17,06,01,2017
395.36,06-01-2017,18,06,01,2017
339.87,06-01-2017,19,06,01,2017
306.31,06-01-2017,20,06,01,2017
300.88,06-01-2017,21,06,01,2017
287.72,06-01-2017,22,06,01,2017
276.57,06-01-2017,23,06,01,2017
280.25,07-01-2017,00,07,01,2017
275.76,07-01-2017,01,07,01,2017
270.03,07-01-2017,02,07,01,2017
265.83,07-01-2017,03,07,01,2017
267.74,07-01-2017,04,07,01,2017
273.47,07-01-2017,05,07,01,2017
277.86,07-01-2017,06,07,01,2017
281.59,07-01-2017,07,07,01,2017
286.17,07-01-2017,08,07,01,2017
293.33,07-01-2017,09,07,01,2017
300.49,07-01-2017,10,07,01,2017
304.6,07-01-2017,11,07,01,2017
300.97,07-01-2017,12,07,01,2017
299.06,07-01-2017,13,07,01,2017
304.12,07-01-2017,14,07,01,2017
313.48,07-01-2017,15,07,01,2017
330.57,07-01-2017,16,07,01,2017
337.25,07-01-2017,17,07,01,2017
327.32,07-01-2017,18,07,01,2017
318.44,07-01-2017,19,07,01,2017
311.95,07-01-2017,20,07,01,2017
310.8,07-01-2017,21,07,01,2017
304.02,07-01-2017,22,07,01,2017
292.18,07-01-2017,23,07,01,2017
293.8,08-01-2017,00,08,01,2017
292.75,08-01-2017,01,08,01,2017
291.7,08-01-2017,02,08,01,2017
291.79,08-01-2017,03,08,01,2017
292.65,08-01-2017,04,08,01,2017
293.32,08-01-2017,05,08,01,2017
293.99,08-01-2017,06,08,01,2017
292.17,08-01-2017,07,08,01,2017
293.8,08-01-2017,08,08,01,2017
297.05,08-01-2017,09,08,01,2017
334.88,08-01-2017,10,08,01,2017
339.28,08-01-2017,11,08,01,2017
359.34,08-01-2017,12,08,01,2017
353.13,08-01-2017,13,08,01,2017
335.74,08-01-2017,14,08,01,2017
335.93,08-01-2017,15,08,01,2017
340.42,08-01-2017,16,08,01,2017
336.98,08-01-2017,17,08,01,2017
324.85,08-01-2017,18,08,01,2017
315.01,08-01-2017,19,08,01,2017
294.56,08-01-2017,20,08,01,2017
295.71,08-01-2017,21,08,01,2017
291.89,08-01-2017,22,08,01,2017
285.58,08-01-2017,23,08,01,2017
282.43,09-01-2017,00,09,01,2017
